מספר מתקן,שם מתקן,מספר צרכן בעל המתקן,שם צרכן בעל המתקן,בעלות המתקן,סטאטוס,קבוצת מים,אקוויפר,ספיקה שעתית מקסימלית,מספר הפקה,מספר ארצי,אזור הפקה,אזור חקלאי,אזור גיאוגרפי,אזור אדמיניסטרטיבי,אזור תכנון
229344,פ עין חרוד ג 30,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11310,18521884,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229345,פ תל יוסף ג 20,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח טורון,קנומן - טורון,,11312,18821464,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229346,פ ג חרוד ב אלפא ד 26,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח אאוקן,איאוקן,300.00,11313,19021286,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229347,פ ג חרוד תל יוסף ב12,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11530,18721746,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229348,פ כפר יחזקאל ב 32,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח,ניאוגן - בזלת,,11559,18421820,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229349,פ גבע ד 36,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,60.00,11588,18521708,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229350,פ חפציבה ג 34,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11597,19221684,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229351,פ בית השיטה ד 38,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11603,19121760,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229352,פ גבע ה 41,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11606,18421866,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229353,פ ג חרוד תל יוסף ד45,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח אאוקן,ניאוגן - בזלת,,11617,18821744,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229354,פ בית השיטה ה 46,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11618,19221646,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229355,פ כפר יחזקאל ג 43,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,40.00,11619,18321804,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229356,פ תל יוסף ה 47,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11620,18821880,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229357,פ בית השיטה ו 48,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11621,18921880,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229358,פ ג חרוד תל יוסף ו51,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח אאוקן,ניאוגן - מילוי,,11640,18821746,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229359,פ ג חרוד 57 ריחניה,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,500.00,11656,18621560,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229360,פ ג חרוד 55 תל יוסף ז,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11668,18821844,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229361,פ כ יחזקאל ד חרוד 59,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,80.00,11669,18321862,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229362,פ ג חרוד 58 תל יוסףט,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,550.00,11671,18921402,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229363,פ ג חרוד תל יוסף ח56,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,80.00,11674,18921808,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229364,פ ג חרוד המחצבה 63,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,,11683,18921348,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229365,פ עמק חרוד 64 ד,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,400.00,11718,18621522,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229366,פ תל יוסף 65,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,150.00,11740,18721486,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229367,פ עין חרוד ח 67,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,700.00,11751,18621522א,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229368,פ ריחניה 2 חרוד 66,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,700.00,11788,18621540,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229369,פ מעין חרוד 1 מרכזי,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח שפיר בזלת,ניאוגן - מילוי,530.00,11837,18421706,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229370,פ עין חרוד 69,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,11838,18621842,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229376,פ מוקבילה אל אנעאש,192,אל-אנעאש אג' שת' לאספקת מים,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,איאוקן,,16497,17721362א,מערכת ארצית,העמקים,תשלובת קישון,הגלבוע מ.א,קישון
229389,פ אילת השחר א קיבוץ,740,מים בגליל אגש"ח מרכזית בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,70.00,11634,20427084,סובב כנרת,הצפון,גליל עליון,הגליל העליון מ.א,אגן כנרת
229390,פ אילת השחר ב,740,מים בגליל אגש"ח מרכזית בע"מ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,11635,20427020,סובב כנרת,הצפון,גליל עליון,הגליל העליון מ.א,אגן כנרת
229416,פ גחולה גחל כ גלעדי,254,כפר גלעדי קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,77.00,16221,20328048,סובב כנרת,הצפון,גליל עליון,הגליל העליון מ.א,אגן כנרת
229469,פ הזורעים 2 לביא קב,514,מי גת אגח"ש למים בגליל תחתון בע"מ,צרכן פרטי,פעיל,קידוח שפיר בזלת,ניאוגן - בזלת,,11535,19623806,סובב כנרת,העמקים,גליל תחתון,גליל תחתון מ.א.,אגן כנרת
229481,יבניאל א' [2802],386,עלי-באר אג' שת' חק' להשקאה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר בזלת,ניאוגן - בזלת,,10379,19823564א,סובב כנרת,העמקים,גליל תחתון,יבנאל,אגן כנרת
229482,פ בית גן ישנה,386,עלי-באר אג' שת' חק' להשקאה בע"מ,צרכן פרטי,פעיל,קידוח שפיר בזלת,ניאוגן - בזלת,200.00,10380,19723506,סובב כנרת,העמקים,גליל תחתון,יבנאל,אגן כנרת
229483,פ משמר השלושה 3,386,עלי-באר אג' שת' חק' להשקאה בע"מ,צרכן פרטי,פעיל,קידוח שפיר בזלת,פליו-פליסטוקן מילוי,240.00,10381,19823502,סובב כנרת,העמקים,גליל תחתון,יבנאל,אגן כנרת
229505,פ בלפוריה א,454,בלפוריה מושב,צרכן פרטי,פעיל,קידוח מליח נאוגן,פליו-פליסטוקן מילוי,70.00,10354,17722606,,העמקים,תשלובת קישון,עמק יזרעאל מ.א,קישון
229508,פ גזית קבוץ 2,458,גזית קיבוץ (מחוץ למערכת הארצית),צרכן פרטי,פעיל,קידוח שפיר בזלת,ניאוגן - בזלת,,11532,19322866,מנותק,העמקים,תשלובת קישון,עמק יזרעאל מ.א,ירדן תחתון
229518,פ מזרע קדוח חדש,484,מזרע קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,450.00,10353,17722924,מערכת ארצית,העמקים,תשלובת קישון,עמק יזרעאל מ.א,קישון
229520,פ מרחביה הקבוץ,486,מרחביה קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10357,17822384,מערכת ארצית,העמקים,תשלובת קישון,עמק יזרעאל מ.א,קישון
229529,פ תל עדשים 2621,516,תל עדשים מושב,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,פליו-פליסטוקן מילוי,18.00,10352,17722962,,העמקים,תשלובת קישון,עמק יזרעאל מ.א,קישון
229549,פ מגדל חדשה אג חקלאי,642,מגדל כפר שיתופי להתיישבות חקלאית בע"מ,צרכן פרטי,פעיל,קידוח שפיר אאוקן,איאוקן,,11638,19724824,סובב כנרת,העמקים,עמק הירדן,מגדל,אגן כנרת
229551,פ מגדל ממ,643,מגדל המועצה המקומית,צרכן פרטי,לא פעיל,קידוח מליח פליו-פלייסטוקן-בזלת,איאוקן,,11546,19724942,סובב כנרת,העמקים,עמק הירדן,מגדל,אגן כנרת
229571,פ משמר העמק קב א,687,משמר העמק קבוץ,צרכן פרטי,פעיל,קידוח שפיר נאוגן,איאוקן,35.00,10338,16322442,מערכת ארצית,העמקים,תשלובת קישון,מגידו מ.א,קישון
229572,פ משמר העמק קב ב,687,משמר העמק קבוץ,צרכן פרטי,פעיל,קידוח מטויב שפיר נאוגן,פליו-פליסטוקן מילוי,140.00,10339,16322486,מערכת ארצית,העמקים,תשלובת קישון,מגידו מ.א,קישון
229573,פ משמר העמק קב ה,687,משמר העמק קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר נאוגן,פליו-פליסטוקן מילוי,,11513,16422404,מערכת ארצית,העמקים,תשלובת קישון,מגידו מ.א,קישון
229574,פ משמר העמק קב ו,687,משמר העמק קבוץ,צרכן פרטי,פעיל,קידוח מליח נאוגן,פליו-פליסטוקן מילוי,,11514,16422440,מערכת ארצית,העמקים,תשלובת קישון,מגידו מ.א,קישון
229576,פ עין השופט,697,עין השופט קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,איאוקן,90.00,11645,16022244א,מערכת ארצית,העמקים,תשלובת קישון,מגידו מ.א,קישון
229577,פ עין השופט ב,697,עין השופט קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר בזלת,איאוקן,,11849,16022282,מערכת ארצית,העמקים,תשלובת קישון,מגידו מ.א,קישון
229590,פ נהריה אמין באהי,868,בהאי נגאר ושות',צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10326,15826648,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229591,פ עין שרה חדשה(רסקו),873,קופה לתגמולים ופנסיה של הסוה"י,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10325,15926602,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229592,פ נהריה מולר די א,876,דלתא גליל תעשיות בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,130.00,16231,16027108,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229593,פ נהריה מולר 3,876,דלתא גליל תעשיות בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,100.00,16420,16027106,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229594,פ נהריה 1,878,נהריה עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,250.00,10327,15926806,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229595,פ נהריה 3,878,נהריה עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11350,15926700,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229596,פ נהריה אגודה 5,878,נהריה עיריה,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,315.00,11356,15926886,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229597,פ נהריה אגודה 6,878,נהריה עיריה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,350.00,11474,16026908א,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229598,פ נהריה אגודה 7,878,נהריה עיריה,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,350.00,11558,16026902,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229599,פ נהריה גלי גליל,878,נהריה עיריה,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,70.00,16302,15826864,,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229600,פ ישאסבסט ב,887,איתנית מוצרי בניה בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16216א,15927084ב,מערכת ארצית,הצפון,גליל מערבי,נהריה               ,גליל מערבי
229601,פ אחיהוד,895,אחיהוד מושב,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,400.00,11478,16525782,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229604,פ אפק קבוץ א,896,אפק קבוץ,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,550.00,10294,16224904,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,קישון
229605,פ אפק קבוץ ב,896,אפק קבוץ,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,,11422,16224988,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,קישון
229606,פ נעמן מא אפק דגים ג,896,אפק קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,210.00,16432,16025122,,הצפון,גליל מערבי,מטה אשר מ.א,קישון
229607,פ חוות הזרע יבור,904,הזרע (1939)בע"מ חוות יבור     ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,קנומן - טורון,,11479,16725680,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229612,פ יסעור הקבוץ,910,יסעור קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,430.00,11413,16625624,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229615,פ כפר מסריק תל דאוק,912,כפר מסריק קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,500.00,16202,16125360א,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229616,פ תל דאוק 2,912,כפר מסריק קבוץ,צרכן פרטי,פעיל,ק.מלוח פליסט(התפלה),פליו-פליסטוקן מילוי,500.00,16466,16125360ב,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229617,פ תל דאוק 3,912,כפר מסריק קבוץ,צרכן פרטי,פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,16496,16125360ג,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229618,פ אל מקר נעמן סולטנה,916,כמאל מלחם   ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,פליו-פליסטוקן מילוי,400.00,11539,16125748,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229620,פ מיאר הסוכנות שגב,918,יודפת מושב לחקלאות,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,,11787,17025388,מערכת ארצית,הצפון,גליל מערבי,משגב מ.א,גליל מערבי
229621,פ חולות חיפה 378נעמן,920,נעמן בעמ חיפה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16204,15925402,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229626,פ עין המפרץ,922,עין המפרץ קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,10296,15925524א,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229627,פ עין המפרץ עי שיבל,922,עין המפרץ קבוץ,צרכן פרטי,פעיל,קידוח מליח טורון,קנומן - טורון,400.00,11581,16125868,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229630,פ בצת ראש הנקרה מושב,960,בצת מושב,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן תחתון,240.00,11574,16227664,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229631,פ בצת שדה תעופה ב,960,בצת מושב,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,250.00,16305,16127560א,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229632,פ בצת המכון,960,בצת מושב,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,,16503,16227524,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229633,פ גשר הזיו המכון,963,גשר הזיו קבוץ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,220.00,11285,16127108,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229635,פ צהל א לימן מושב א,976,לימן מושב,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11498,16027482,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229636,פ צהל ב לימן מושב ב,976,לימן מושב,צרכן פרטי,לא פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,270.00,11499,16127324,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229637,פ צהל ג לימן מושב ג,976,לימן מושב,צרכן פרטי,לא פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,120.00,11500,16127300,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229638,פ בצת משק כנען,979,משק כנען,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16219,16127542,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229643,פ ראש הנקרה קבוץ,987,ראש הנקרה קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן תחתון,350.00,11644,16127682א,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229644,פ עכו עיריה 8,1224,מי עכו בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,110.00,11112,15826080,מערכת ארצית,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229645,פ ע עכו תחנת נסיונות,1224,מי עכו בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11271,15825928,מערכת ארצית,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229646,פ עכו עיריה 9,1224,מי עכו בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11272,15926102,מערכת ארצית,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229647,פ עכו תל נפוליאון,1224,מי עכו בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11362,15825826,מערכת ארצית,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229648,פ עכו צנורות מזרח 1,1089,צנורות המזרח התיכון בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,16205א,15825564א,מערכת ארצית,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229649,פ עכו ביחר לצנורות ד,1089,צנורות המזרח התיכון בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,16487,15825542,,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229650,פ צינורות מז' תיכון,1089,צנורות המזרח התיכון בע"מ,צרכן פרטי,לא פעיל,קידוח שפיר הולוקן,הולוקן,,16531א,15925506,מערכת ארצית,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229651,פ עכו פרוטרום 1 8,1094,תעשיות אלקטרוכימיות (1952)בע"מ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,16470,15725680,,הצפון,גליל מערבי,עכו                 ,גליל מערבי
229652,פ פרוטארים 10 (3)עכו,1094,תעשיות אלקטרוכימיות (1952)בע"מ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,,16518,15725680א,,הצפון,גליל מערבי,עכו                 ,גליל מערבי
